Name,Disabled,FileName,ExportName,ParticleFileName,ParticleExportName,ParticleStyle,ParticleVariations,ThemeMusic,LoadingJingle,LoadingScreen,CustomButtonName
string,boolean,string,string,string,string,string,int,string,string,string,string
Default,,sc/background_basic.sc,bgr,,,,,MenuMusic,,,
Winter,TRUE,sc/background_basic.sc,bgr,sc/ui.sc,particle_snow_,Snow,2,Snow_brawl,,,
LNY,TRUE,sc/background_lny.sc,bgr_cny,,,,,Cnymenu_music,,,
CR,TRUE,sc/background_basic.sc,bgr_royale,,,,,Brawl_royale_menu_music,,,
Easter,TRUE,sc/background_basic.sc,bgr,,,,,MenuMusic,,,
GoldenWeek,TRUE,sc/background_gw.sc,bgr_gw,,,,,Golden_Week_Menu,,,
Retropolis,TRUE,sc/background_retro.sc,bgr_retro,,,,,Retropolis_menu,,,
Mecha,TRUE,sc/background_mecha.sc,bgr_mecha,,,,,MechMenuMusic,,,
Halloween,TRUE,sc/background_brawloween.sc,bgr_brawloween,,,,,Halloween_menu,,,
Brawlidays,TRUE,sc/background_brawlidays.sc,bgr_brawlidays,,,,,Xmas_Pirate_Menu,,,
LNY20,TRUE,sc/background_lny_20.sc,bgr_lny20,,,,,Brawlcade_Menu,,,
PSG,TRUE,sc/background_psg.sc,bgr_psg,sc/ui.sc,,,,Footbrawl_menu_muzak,,,
SC10,TRUE,sc/background_s_anniversary.sc,bgr_s_anniversary,,,,,10th_Anniversary_Menu,,,
Bazaar,TRUE,sc/background_t_bazaar.sc,bgr_t_bazaar,,,,,Brawzaar_menu_muzak,,,
Monsters,TRUE,sc/background_scity.sc,bgr_scity,,,,,Monsterbrawl_menu_muzak,,,
Giftshop,TRUE,sc/background_giftshop.sc,bgr_giftshop,,,,,Starpark_Menu_Music,,,
MoonFestival20,TRUE,sc/background_moon_festival.sc,bgr_moon_festival,,,,,Lunar_Menu_Music,,,
WF20,TRUE,sc/background_world_finals.sc,bgr_world_finals,,,,,Elprimo_fire_menu,,,
Brawloween_20,TRUE,sc/background_brawloween.sc,bgr_brawloween,,,,,Elprimo_fire_menu,,,
Winter_20,TRUE,sc/background_snowtel.sc,bgr_snowtel,,,,,Snowtel_Menu,,,
Winter_20_snow,TRUE,sc/background_snowtel.sc,bgr_snowtel,sc/ui.sc,particle_snow_,Snow,2,Xmas_menu,,,
StarrForce,TRUE,sc/background_ox.sc,bgr_ox,,,,,Space_Brawl_Menu,,,
LNY21,TRUE,sc/background_lny.sc,bgr_lny21,,,,,Space_Brawl_LNY_Menu,,,
ActionShow,TRUE,sc/background_basic.sc,bgr,,,,,Action_Western_Menu,,,
Ramadan,TRUE,sc/background_ramadan.sc,bgr_ramadan,,,,,Brawzaar_menu_muzak,,,
China_Anniversary,TRUE,sc/background_c1a.sc,bgr_c1a,,,,,Cnymenu_music,,,
Velocirapids,TRUE,sc/background_vp.sc,bgr_vp,,,,,Summer_Brawl_Menu_Muzak,,,
Punk,TRUE,sc/background_punk.sc,bgr_punk,,,,,Bad_Randoms_Music,,,
FairyTale,TRUE,sc/background_ft.sc,bgr_ft,sc/ui.sc,particle_ember_,Ember,2,Fairytale_Menu,sfx/fairytale_load_01.ogg,,
MoonFestival21,TRUE,sc/background_mf.sc,bgr_mf,,,,,Lunar_Menu_Music,,,
Retropolis21,TRUE,sc/background_retro.sc,bgr_retro,,,,,Retropolis_menu,,,
Brawloween_21,TRUE,sc/background_brawloween.sc,bgr_brawloween,,,,,Halloween_menu,sfx/brawloween_load_01.ogg,sc/loading_brawloween.sc,
Singlesday_21,TRUE,sc/background_sd.sc,bgr_sd,,,,,Brawlywood_Menu,sfx/brawlywood_load_01.ogg,,
BlackFriday_2121,TRUE,sc/background_bf.sc,bgr_bf,,,,,Brawlywood_Menu,sfx/brawlywood_load_01.ogg,,
Brawlywood,TRUE,sc/background_brawlywood.sc,bgr_brawlywood,,,,,Brawlywood_Menu,sfx/brawlywood_load_01.ogg,,
