Name,BehaviorType,CanMoveAtSameTime,Targeted,CanAutoShoot,MovementBasedAutoshoot,AttackFacing,Cooldown,ActiveTime,CastingTime,CastingRange,RangeVisual,RangeInputScale,MaxCastingRange,AllowAimOutsideMap,ForceValidTile,RechargeTime,MaxCharge,Damage,PercentDamage,MsBetweenAttacks,Spread,AttackPattern,NumBulletsInOneAttack,TwoGuns,ExecuteFirstAttackImmediately,MovementSpeed,ChargePushback,OverchargedChargePushback,ChargeSpeed,ChargeType,NumSpawns,MaxSpawns,BreakInvisibilityOnAttack,SeeInvisibilityDistance,AlwaysCastAtMaxRange,Projectile,OverchargedProjectile,SummonedCharacter,AreaEffectObject,AreaEffectObject2,OverchargedAreaEffectObject,OverchargedAreaEffectObject2,AreaEffectFollow,SpawnedItem,SpawnItemTriggerType,ButtonSWF,ButtonExportName,ButtonExportNameBlue,AttackEffect,OverchargedAttackEffect,UseEffect,OverchargedUseEffect,EndEffect,OverchargedEndEffect,LoopEffect,LoopEffect2,OverchargedLoopEffect,OverchargedLoopEffect2,ChargeMoveSound,MultiShot,SkillChangeType,SecondarySkill,SecondarySkill2,SecondarySkill3,SecondarySkill4,ShowTimerBar,SecondaryProjectile,ThirdProjectile,ChargedShotCount,DamageModifier,HoldToShoot,UsableInShadowRealm,"HealSelfOnActivationType","HealSelfOnActivationPower",CustomString,CustomString2,CustomValue
string,String,boolean,boolean,boolean,boolean,int,int,int,int,int,int,int,int,boolean,int,int,int,int,int,int,int,int,int,boolean,boolean,int,int,int,int,int,int,int,boolean,int,boolean,string,string,string,string,string,string,string,boolean,string,int,string,string,string,string,string,string,string,string,string,string,string,string,string,string,boolean,int,string,string,string,string,boolean,string,string,int,int,boolean,boolean,"int","int",string,string,int
ShotgunGirlWeapon,Attack,TRUE,TRUE,TRUE,,,250,150,,23,,,,,,1500,3,300,,100,60,,5,,TRUE,,,,,,,,,,,ShotgunGirlProjectile,,,,,,,,,,,,,shelly_def_atk,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
ShotgunGirlUlti,Attack,TRUE,TRUE,TRUE,,,250,150,,23,,,,,,,,320,,100,100,,9,,TRUE,,,,,,,,,,,ShotgunGirlUltiProjectile,ShotgunGirlOverchargedUltiProjectile,,,,,,,,,,,,shelly_def_ulti,shelly_def_overcharge,,,,,,,,,,,,,,,,,,,,,,,,,,,
GunslingerWeapon,Attack,TRUE,TRUE,TRUE,,,50,650,,27,,,,,,1400,3,360,,100,0,,1,TRUE,TRUE,,,,,,,,,,,GunslingerProjectile,,,,,,,,,,,,,colt_def_atk,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
GunslingerUlti,Attack,TRUE,TRUE,TRUE,,,50,1250,,33,,,,,,,,320,,100,0,,1,TRUE,TRUE,,,,,,,,,,,GunslingerUltiProjectile,GunslingerOverchargedUltiProjectile,,,,,,,,,,,,colt_def_ulti,colt_def_overcharge,Dummy_effect,,,,,,,,,,,,,,,,,,,,,,,,,,
BullDudeWeapon,Attack,TRUE,TRUE,TRUE,,,250,150,,16,,,,,,1600,3,440,,100,90,,5,,TRUE,,,,,,,,,,,BullDudeProjectile,,,,,,,,,,,,,bull_def_atk,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
BullDudeUlti,Charge,,TRUE,TRUE,,,50,,,33,,,,,,,,960,,,,,,,,,130,,1800,1,,,,,TRUE,,,,,,,,,,,,,,,,bull_dude_ulti,,,,bull_dude_ulti_loop,,bull_def_overcharge,bull_def_overcharge_loop,Rhinostep,,,,,,,,,,,,,,,,,,
RocketGirlWeapon,Attack,TRUE,TRUE,TRUE,,,250,150,,27,,,,,,2100,3,1160,,100,,,1,,TRUE,,,,,,,,,,,RocketGirlProjectile,,,,,,,,,,,,,brock_def_atk,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
RocketGirlUlti,Attack,TRUE,TRUE,TRUE,,,250,1850,,25,,,,,,,,1040,,200,160,9,1,,TRUE,,,,,,,,,,,RocketGirlUltiProjectile,"RocketGirlUltiOverchargedProjectile",,,,,,,,,,,,brock_def_ulti,"brock_def_oc_ulti",,,,,,,,,,,,,,,,,,,,,,,,,,,
TrickshotDudeWeapon,Attack,TRUE,TRUE,TRUE,,,50,800,,29,,,,,,1200,3,320,,150,15,1,1,,TRUE,,,,,,,,,,,TrickshotDudeProjectile,,,,,,,,,,,,,rico_def_atk,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
